"TIV of arms exports from all, 1950-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,27,,,,4,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,128
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,,,,,,214
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18
Lebanon,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,50
Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,395,95,107,168,14,54,33,10,14,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,9,17,32,27,0,,,,,,,,,,,,1415
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,1
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,60,,,2,29,94
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,1
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Malaysia,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,3,,,,,,,,0,,,,11,,,,,,,,,,0,,,,15,15,,,,,1,,,,59
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,,15
Mexico,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,36,,,217,,,6,42,60,13,,18,3,19,29,20,,11,,,,,,,,,,,,487
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,0,,,,,,198
Morocco,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,35
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Netherlands,199,63,20,7,72,255,9,8,51,43,35,108,65,45,93,39,139,95,351,113,5,161,133,206,83,148,293,448,235,243,612,801,661,457,364,180,356,505,776,558,416,455,366,458,628,458,484,608,620,355,281,199,233,331,202,504,1143,1219,452,500,366,541,869,384,638,469,484,1067,466,301,462,347,295,25632
New Zealand,,,,,,,,,,,,,,,,,,1,1,0,,,0,2,5,3,,,,,,1,2,,10,7,0,,,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,75,,,1,6,,9,,,,20,186
Nicaragua,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,72,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
Niger,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,3,10
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,20,29,5,148,250,88,57,65,212,189,66,4,113,131,137,24,41,47,47,81,55,58,73,162,134,47,20,20,20,20,26,5,,,,1,,,,,,,,,2410
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31
North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Norway,2,30,,8,,,,,,8,38,,25,55,67,65,80,140,65,53,,4,29,10,,8,8,8,87,153,152,268,66,35,,42,29,54,34,127,85,170,82,51,64,21,4,19,3,5,3,42,92,101,66,6,17,58,108,151,159,150,169,173,163,217,129,146,59,31,72,119,88,4572
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,19
Pakistan,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,15,30,30,,,,,,,1,82,3,,,2,,,,,,3,,9,8,9,24,4,,1,,,,,,,,1,3,2,1,,53,,289
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,,,,,,70
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
Poland,,,,,,,,,,,5,5,12,111,237,234,319,309,288,323,268,278,276,158,232,299,408,383,319,230,209,348,213,117,91,131,265,222,232,20,105,55,56,,133,179,46,21,1,65,47,81,56,83,47,18,282,163,73,75,28,8,27,142,24,2,5,10,24,10,0,3,452,8863
Portugal,,,,,,,,,,,,,,,,,,2,,,,3,,5,11,105,21,,4,4,2,,,1,,,1,1,,71,,,,1,,,,,,,,,,,,,,,99,46,,0,0,,18,7,172,56,3,3,46,11,2,695
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,9,,,,,,,2,,,,,0,,,,,,,3,11,,13,,78
Romania,,,,,,,,,,,,,,,,,,,,,,6,9,9,1,,,,27,44,48,30,91,101,173,99,28,35,52,25,7,5,14,16,29,9,4,11,2,19,3,,,24,,3,8,32,,2,1,0,,216,,,,,,,,,,1180
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596,3431,1468,3799,3544,3341,2030,4255,4454,5336,5802,5139,6253,5129,5117,5495,5953,5071,6158,8679,8171,7923,5467,5927,6811,6199,7173,5627,3904,2857,2820,155926
Saudi Arabia,,,,,,0,,,,,,,,,,,,4,3,,,,2,,,,0,13,,,,33,,,6,4,,,,,,,,12,,,1,,,,,,,,,,18,,,,1,62,,,,3,5,,,,,,,167
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,16,,,,,5,5,45,0,31,4,10,10,10,35,29,3,27,26,34,3,,320
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,29,72,,15,,25,88,,,81,25,87,44,3,3,11,30,,0,46,23,11,11,,4,,65,,,,,32,25,13,76,2,4,73,72,,,,24,72,,1084
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,38,99,62,58,10,125,37,54,33,,46,,7,22,8,,,,4,1,8,3,18,22,12,2,3,,71,919
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,38,47
South Africa,,,,,,,,,,8,27,33,,,,,,8,,13,2,7,22,1,2,28,19,0,,,49,49,1,,,25,25,28,25,0,,54,75,54,13,17,31,7,22,28,20,37,22,47,72,35,199,137,141,107,243,74,193,111,63,67,82,96,90,109,111,89,48,2865
South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,105,105,130,65,,126,28,73,,54,48,72,118,,60,7,27,24,25,32,,10,235,,96,74,109,158,278,110,224,177,328,203,350,220,94,473,738,1054,682,772,544,209,8376
South Vietnam,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
Soviet Union,3974,3602,5883,8534,8625,5762,6334,6645,7946,7846,6421,6193,7612,6995,8914,8626,10307,11670,11191,9853,9599,11160,13303,15533,15198,11260,9569,15110,17456,16731,17929,16978,16306,14821,14208,14470,14839,13475,12423,11784,10053,5649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450786
Spain,,,,,,,,,,,1,5,6,6,7,21,21,7,7,6,70,140,4,4,84,267,46,25,38,18,10,132,260,370,244,93,198,158,143,177,117,105,71,104,254,89,113,634,174,46,47,8,18,99,54,113,898,628,626,984,273,997,266,450,962,977,480,820,705,308,971,594,950,16503
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,8
Sudan,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,16
Sweden,27,46,64,165,21,105,96,111,280,15,38,45,44,13,22,32,56,55,60,36,251,530,123,15,75,123,70,54,55,261,156,128,119,117,227,214,322,233,515,403,228,156,149,103,111,226,348,104,337,387,360,896,163,515,295,531,387,331,454,409,660,698,478,387,341,181,264,81,154,215,282,332,68,15949
Switzerland,,,,,,,,,,49,435,493,524,337,379,484,367,262,91,105,18,42,34,54,89,395,480,260,196,455,533,554,411,331,528,347,345,312,370,319,468,497,452,235,176,146,195,126,214,282,186,221,178,198,279,266,310,308,471,238,260,326,235,194,337,482,217,175,243,215,174,118,175,18190
Syria,,,,,,,,,,,,,,,,,,,,,17,,,,2,2,,0,,,,,178,46,1,29,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,20,20,,,,,,,,,,,,,443
Taiwan,,,,,,,,,,,,,,,,,,12,,,,,154,,,,,,,1,,,,,,,,,,42,6,,,,,,4,5,,,,6,0,,,,,,,16,,,2,,,4,2,2,,2,2,3,,265
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,,1,,3,,102
Turkiye,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,3,3,0,3,44,20,5,27,43,28,23,65,83,118,64,70,90,141,138,154,223,242,179,249,248,251,438,398,3385
UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,22,1,,,2,,,,,28,6,37,,,,,,,3,11,17,3,,34,39,3,70,108,87,142,95,101,114,128,191,57,12,1332
Uganda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,4
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,82,236,167,234,558,708,732,270,512,310,313,196,288,524,635,399,442,513,566,1491,683,630,299,455,375,254,165,116,147,50,12513
United Kingdom,2285,3468,3253,4607,4473,4808,6012,5026,3950,3442,2246,1270,1140,1283,1395,1470,1369,1988,1647,1790,927,2252,2512,2768,2353,2441,2513,2208,2220,1539,1589,2365,2514,2596,2567,2142,1973,3594,2519,3515,1851,1515,1098,1389,1522,1460,1618,2359,1387,1310,1601,1359,1076,769,1217,1001,954,920,927,1073,1151,1007,816,1493,1658,1177,1339,1117,683,910,625,656,1504,144569
United Nations**,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
United States,1388,4057,6944,9814,6099,7190,8573,8587,9564,7437,6132,6290,6130,9360,12316,11301,8402,7236,8405,11806,8980,11742,10808,12031,12904,15858,15798,14510,13899,9909,10738,13628,13988,13950,11864,10781,11604,12180,11858,11314,10606,12489,14090,13770,11480,11182,10839,14500,15708,11543,7651,5592,4853,5624,6834,6766,7552,7972,7144,7202,8336,8941,8999,7607,9588,9918,9769,11732,9674,10888,9426,10994,14515,729161
unknown supplier(s),23,12,,,,2,17,17,17,17,17,19,5,1,1,14,1,12,,0,,3,12,4,7,15,7,1,12,31,30,42,21,9,2,7,42,2,8,6,10,9,3,38,53,1,75,11,4,3,11,16,16,10,13,49,9,0,35,9,30,8,14,10,26,12,5,6,4,11,3,29,40,1007
Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,,,,,,1111
Venezuela,,,,,,,,,,,,,,,,,,,,17,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,,80
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,36
Yugoslavia,,,,,,,17,,71,,6,,,,23,23,,,,21,3,21,,35,,14,65,71,45,25,103,103,22,47,71,94,8,2,16,18,80,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Zimbabwe,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8083,11520,16552,23525,20043,20485,24554,24083,25505,21373,17734,16334,17537,20291,26483,25073,25047,25515,26028,28574,25388,32591,34274,35999,36812,37324,35471,39953,42469,38033,41698,45400,45656,44049,41717,38184,39095,39435,36671,35280,30424,28235,24073,25727,22916,22855,23705,28815,27712,25097,19303,18689,17681,18963,21181,21294,24377,26522,24123,24365,25724,29901,27809,27247,27195,28484,31213,31438,27807,27607,24000,26792,31983,2033095
